,id,direction,grid_density,grid_flow,bag_size,sum_flow,sum_density,centroid_flow,centroid_density,weight
0,109,1,0,2,3,180.0,2.0278561052721527,60.0,0.6759520350907176,0.0027829313543599257
1,109,1,1,5,4,480.0,5.284239932592926,120.0,1.3210599831482315,0.0037105751391465678
2,109,1,2,8,7,1260.0,13.972746982651286,180.0,1.9961067118073266,0.006493506493506494
3,109,1,3,11,15,3600.0,38.36353936893167,240.0,2.5575692912621113,0.013914656771799629
4,109,1,3,14,1,300.0,2.8712598174728616,300.0,2.8712598174728616,0.0009276437847866419
5,109,1,4,14,12,3600.0,39.68915212385926,300.0,3.3074293436549382,0.011131725417439703
6,109,1,5,14,1,300.0,3.831542264734205,300.0,3.831542264734205,0.0009276437847866419
7,109,1,5,17,11,3960.0,44.36106483514327,360.0,4.0328240759221154,0.01020408163265306
8,109,1,5,20,4,1680.0,16.97029072152773,420.0,4.242572680381932,0.0037105751391465678
9,109,1,6,20,20,8400.0,93.48679165420936,420.0,4.674339582710468,0.01855287569573284
10,109,1,6,23,6,2880.0,29.92512253735827,480.0,4.987520422893045,0.0055658627087198514
11,109,1,7,23,8,3840.0,43.6337072206064,480.0,5.4542134025758,0.0074211502782931356
12,109,1,7,26,6,3240.0,34.18229756115019,540.0,5.6970495935250325,0.0055658627087198514
13,109,1,8,23,2,960.0,11.837755638413178,480.0,5.918877819206589,0.0018552875695732839
14,109,1,8,26,15,8100.0,91.3366893623499,540.0,6.08911262415666,0.013914656771799629
15,109,1,8,29,1,600.0,6.4283565573375006,600.0,6.4283565573375006,0.0009276437847866419
16,109,1,9,26,1,540.0,6.969198918262596,540.0,6.969198918262596,0.0009276437847866419
17,109,1,9,29,10,6000.0,67.41149049188675,600.0,6.741149049188675,0.00927643784786642
18,109,1,9,32,6,3960.0,41.91900086675791,660.0,6.986500144459652,0.0055658627087198514
19,109,1,10,29,2,1200.0,15.175795884850658,600.0,7.587897942425329,0.0018552875695732839
20,109,1,10,32,5,3300.0,37.59057797875969,660.0,7.518115595751938,0.00463821892393321
21,109,1,10,35,9,6480.0,69.4656953259739,720.0,7.7184105917748775,0.008348794063079777
22,109,1,11,35,12,8640.0,100.54078295328017,720.0,8.378398579440015,0.011131725417439703
23,109,1,11,38,14,10920.0,118.22135463108347,780.0,8.444382473648819,0.012987012987012988
24,109,1,11,41,4,3360.0,34.54169278894982,840.0,8.635423197237454,0.0037105751391465678
25,109,1,12,35,1,720.0,9.020054158395098,720.0,9.020054158395098,0.0009276437847866419
26,109,1,12,38,10,7800.0,91.5934967408362,780.0,9.15934967408362,0.00927643784786642
27,109,1,12,41,19,15960.0,172.40392533663547,840.0,9.07389080719134,0.017625231910946195
28,109,1,12,44,5,4500.0,46.84177643224929,900.0,9.368355286449859,0.00463821892393321
29,109,1,13,38,1,780.0,10.052768010863634,780.0,10.052768010863634,0.0009276437847866419
30,109,1,13,41,11,9240.0,107.14534342202364,840.0,9.740485765638512,0.01020408163265306
31,109,1,13,44,13,11700.0,127.45041576461654,900.0,9.803878135739733,0.012059369202226345
32,109,1,13,47,8,7680.0,79.37147775435342,960.0,9.921434719294178,0.0074211502782931356
33,109,1,14,38,1,780.0,10.33529196453127,780.0,10.33529196453127,0.0009276437847866419
34,109,1,14,41,3,2520.0,31.445616057829557,840.0,10.48187201927652,0.0027829313543599257
35,109,1,14,44,6,5400.0,62.7371561325547,900.0,10.456192688759117,0.0055658627087198514
36,109,1,14,47,12,11520.0,126.65964221629669,960.0,10.55497018469139,0.011131725417439703
37,109,1,14,50,12,12240.0,128.30290101413053,1020.0,10.69190841784421,0.011131725417439703
38,109,1,14,52,1,1080.0,10.802561986401582,1080.0,10.802561986401582,0.0009276437847866419
39,109,1,15,44,2,1800.0,22.983087614859407,900.0,11.491543807429704,0.0018552875695732839
40,109,1,15,47,2,1920.0,22.374717093652844,960.0,11.187358546826422,0.0018552875695732839
41,109,1,15,50,22,22440.0,247.2476053968324,1020.0,11.238527518037836,0.02040816326530612
42,109,1,15,52,10,10800.0,113.38475433489994,1080.0,11.338475433489993,0.00927643784786642
43,109,1,16,44,1,900.0,12.192290263307163,900.0,12.192290263307163,0.0009276437847866419
44,109,1,16,47,1,960.0,11.880372981283053,960.0,11.880372981283053,0.0009276437847866419
45,109,1,16,50,7,7140.0,84.9116177723691,1020.0,12.130231110338443,0.006493506493506494
46,109,1,16,52,14,15120.0,167.87547755044002,1080.0,11.991105539317145,0.012987012987012988
47,109,1,16,55,21,23940.0,254.54358996850496,1140.0,12.12112333183357,0.01948051948051948
48,109,1,16,58,3,3600.0,36.39543569974198,1200.0,12.131811899913993,0.0027829313543599257
49,109,1,17,50,3,3060.0,37.95439810595542,1020.0,12.651466035318473,0.0027829313543599257
50,109,1,17,52,5,5400.0,64.02901246805952,1080.0,12.805802493611903,0.00463821892393321
51,109,1,17,55,15,17100.0,190.67167838910655,1140.0,12.711445225940436,0.013914656771799629
52,109,1,17,58,18,21600.0,229.24286698262398,1200.0,12.735714832367998,0.016697588126159554
53,109,1,17,61,5,6300.0,64.97799659218576,1260.0,12.995599318437153,0.00463821892393321
54,109,1,18,47,1,960.0,13.863530329006943,960.0,13.863530329006943,0.0009276437847866419
55,109,1,18,50,1,1020.0,13.344577066779642,1020.0,13.344577066779642,0.0009276437847866419
56,109,1,18,52,2,2160.0,27.012366772826056,1080.0,13.506183386413028,0.0018552875695732839
57,109,1,18,55,4,4560.0,54.34482522098752,1140.0,13.58620630524688,0.0037105751391465678
